Book Name,Author,Cover Image Path,Genre,Abstract
Dracula (1897): Gothic Horror Novel,"
Bram Stoker",images/Horror_Dracula (1897): Gothic Horror Novel.jpg,Horror,"Dracula is an 1897 Gothic horror novel by Irish author Bram Stoker. It introduced the character of Count Dracula, and established many conventions of subsequent vampire fantasy. The novel tells the story of Dracula's attempt to move from Transylvania to England so that he may find new blood and spread the undead curse, and of the battle between Dracula and a small group of men and a woman led by Professor Abraham Van Helsing. Dracula has been assigned to many literary genres including vampire literature, horror fiction, the gothic novel, and invasion literature. The novel has spawned numerous theatrical, film, and television interpretations."
Carmilla (Biblioteca De Fantasia Y Terror / Fantasy and Horror Library),"
Joseph Sheridan Le Fanu",images/Horror_Carmilla (Biblioteca De Fantasia Y Terror  .jpg,Horror,https://openlibrary.org/works/OL2895536W
Mary Shelley's Frankenstein (Horror Library),"
Mary Shelley",images/Horror_Mary Shelley's Frankenstein (Horror Library.jpg,Horror,"Frankenstein; or, The Modern Prometheusis an 1818 novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821."
Dr. Jekyll and Mr. Hyde: A Horror Classic (Fast Track Classics),"
Robert Louis Stevenson",images/Horror_Dr. Jekyll and Mr. Hyde: A Horror Classic (.jpg,Horror,"Stevenson’s famous gothic novella, first published in 1886, and filmed countless times is better known simply as Jekyll and Hyde. The first novel to toy with the idea of a split personality, it features the respectable Dr. Jekyll transforming himself into the evil Mr Hyde in a failed attempt to learn more about the duality of man."
The Amityville Horror,"
Jay Anson",images/Horror_The Amityville Horror.jpg,Horror,"On December 18th, 1975, George and Kathy Lutz, with their three children, moved into their new home at 112, Ocean Avenue, Amityville. Twenty eight days later, they fled from the house in terror.

Plagued by extreme cold and strange unearthly smells, by clouds of flies in the dead of winter, by voices and music that came from nowhere, by green slime that came from the walls ... by unspeakable phenomena inconceivable this side of the gates of Hell !--back cover"
Danse Macabre: Die Welt des Horrors,"
Stephen King",images/Horror_Danse Macabre: Die Welt des Horrors.jpg,Horror,"This is a non-fiction study of the horror genre including books, movies, television, etc.(source)

Also contained in:"
Diario de Um Banana 6: Casa dos Horrores,"
Jeff Kinney",images/Horror_Diario de Um Banana 6: Casa dos Horrores.jpg,Horror,"Greg Heffley is in big trouble. School property has been damaged, and Greg is the prime suspect. But the crazy thing is, he’s innocent. Or at least sort of.

The authorities are closing in, but when a surprise blizzard hits, the Heffley family is trapped indoors. Greg knows that when the snow melts he’s going to have to face the music, but could any punishment be worse than being stuck inside with your family for the holidays?"
Rosemary's Baby,"
Ira Levin",images/Horror_Rosemary's Baby.jpg,Horror,"She is a housewife—young, healthy, blissfully happy. He is an actor—charismatic and ambitious. The spacious, sun-filled apartment on Manhattan's Upper West Side is their dream home—a dream that turns into an unspeakable nightmare. . . .Enter the chilling world of Ira Levin—where terror is as near as your new neighbors . . . and where evil wears the most innocent face of all. . . .--front flap

Also contained in:"
Demon Seed: A novel of horror and complexity that grips the imagination,"
Dean Koontz",images/Horror_Demon Seed: A novel of horror and complexit.jpg,Horror,A woman is imprisoned and tortured by her state-of-the-art computer security system--and its perverse desire...
Uzumaki: Spiral into horror,"
Junji Ito",images/Horror_Uzumaki: Spiral into horror.jpg,Horror,"Kurôzu-cho, a small fogbound town on the coast of Japan, is cursed. According to Shuichi Saito, the withdrawn boyfriend of teenager Kirie Goshima, their town is haunted not by a person or being but by a pattern: uzumaki, the spiral, the hypnotic secret shape of the world. It manifests itself in everything from seashells and whirlpools in water to the spiral marks on people's bodies, the insane obsessions of Shuichi's father and the voice from the cochlea in our inner ear. As the madness spreads, the inhabitants of Kurôzu-cho are pulled ever deeper into a whirlpool from which there is no return!"
